number_people;125
Randomcounter;40
Randomreport-total-co-emissions;212401.9193
Randomreport-number-riders;27.1
Randomreport-num-cars-stopped;5.317723336
Randomreport-mean-speed-cars;0.365508498
Randomreport-average-wait-time-cars;2.966565825
Randomreport-average-rider-score-group;0.079513941
Randomreport-average-walking-turtle-score;0.77744473
Randomreport-number-walking-turtles;6.55
Min Distancecounter;40
Min Distancereport-total-co-emissions;75610.67417
Min Distancereport-number-riders;33.175
Min Distancereport-num-cars-stopped;3.401039322
Min Distancereport-mean-speed-cars;0.408730337
Min Distancereport-average-wait-time-cars;2.559354742
Min Distancereport-average-rider-score-group;0.165849249
Min Distancereport-average-walking-turtle-score;1
Min Distancereport-number-walking-turtles;0
Best!counter;40
Best!report-total-co-emissions;80871.29924
Best!report-number-riders;36.425
Best!report-num-cars-stopped;4.804695449
Best!report-mean-speed-cars;0.382883599
Best!report-average-wait-time-cars;2.584999846
Best!report-average-rider-score-group;0.566329986
Best!report-average-walking-turtle-score;0.627055214
Best!report-number-walking-turtles;33.6
