number_people;250
Randomcounter;40
Randomreport-total-co-emissions;421007.5972
Randomreport-number-riders;52.55
Randomreport-num-cars-stopped;9.520224297
Randomreport-mean-speed-cars;0.366328583
Randomreport-average-wait-time-cars;2.894755794
Randomreport-average-rider-score-group;0.068813317
Randomreport-average-walking-turtle-score;0.731833603
Randomreport-number-walking-turtles;16.95
Min Distancecounter;40
Min Distancereport-total-co-emissions;133966.1495
Min Distancereport-number-riders;65.6
Min Distancereport-num-cars-stopped;5.776402437
Min Distancereport-mean-speed-cars;0.403952179
Min Distancereport-average-wait-time-cars;2.490124405
Min Distancereport-average-rider-score-group;0.190988978
Min Distancereport-average-walking-turtle-score;1
Min Distancereport-number-walking-turtles;0
Best!counter;40
Best!report-total-co-emissions;173829.6536
Best!report-number-riders;72.55
Best!report-num-cars-stopped;8.661324511
Best!report-mean-speed-cars;0.370887885
Best!report-average-wait-time-cars;2.642235065
Best!report-average-rider-score-group;0.614219501
Best!report-average-walking-turtle-score;0.601415449
Best!report-number-walking-turtles;62.9
