number_people;11
Randomcounter;40
Randomreport-total-co-emissions;17978.51563
Randomreport-number-riders;2.4
Randomreport-num-cars-stopped;0.831588493
Randomreport-mean-speed-cars;0.362778461
Randomreport-average-wait-time-cars;3.128900829
Randomreport-average-rider-score-group;0.064783213
Randomreport-average-walking-turtle-score;0.889164296
Randomreport-number-walking-turtles;0.7
Min Distancecounter;40
Min Distancereport-total-co-emissions;14651.9087
Min Distancereport-number-riders;3.225
Min Distancereport-num-cars-stopped;0.755015951
Min Distancereport-mean-speed-cars;0.403224516
Min Distancereport-average-wait-time-cars;2.952687541
Min Distancereport-average-rider-score-group;0.09256573
Min Distancereport-average-walking-turtle-score;0.851460007
Min Distancereport-number-walking-turtles;0.3
Best!counter;40
Best!report-total-co-emissions;7040.208988
Best!report-number-riders;3.475
Best!report-num-cars-stopped;0.825632723
Best!report-mean-speed-cars;0.385837017
Best!report-average-wait-time-cars;2.713012482
Best!report-average-rider-score-group;0.396431307
Best!report-average-walking-turtle-score;0.583738446
Best!report-number-walking-turtles;3.05
