current-auto?;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;
[reporter];report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles
[final];281028.646315285;0;0;0;0;0.09435727619799568;0.7719834911134902;15;157162.20753212785;0;0;0;0;0.05511453944933516;1;2;143612.82717879774;0;0;0;0;0.09797103900386961;0.630777857774014;8;171672.96618288706;0;0;0;0;0.10399431372162352;0.6231057540895493;12;182506.5707682506;0;0;0;0;0.10440683289864601;0.6328487686106826;3;119005.83005326285;0;0;0;0;0.08039534831677322;0.6745910935599371;14;189071.29101198204;0;0;0;0;0.0289214407987394;0.6708337197751951;7;185745.21328556843;0;0;0;0;0.05978779120353374;0.7353946784970151;18;192027.7823569869;0;0;0;0;0.08852021776187013;1;0;148489.33696484487;0;0;0;0;0.054276061556725284;0.8102633887045234;7;190631.9354013443;0;0;0;0;0.028621546318048426;0.6781141474371393;8;167401.7306923517;0;0;0;0;0.0647021441220152;0.6835766571293609;8;177166.464755613;0;0;0;0;0.05013379319176155;1;0;173260.822749223;0;0;0;0;0.11962106595911681;0.8091364024850921;6;226426.64194456628;0;0;0;0;0.05056154213204239;0.8972045953408136;7;176326.52934269642;0;0;0;0;0.047967389856891876;0.504463305162447;1;139109.11497369758;0;0;0;0;0.0440033883549648;0.7399197067967964;10;178324.38793060457;0;0;0;0;0.03727248035085128;0.8943801731811067;9;170047.8079514738;0;0;0;0;0.029474460854652995;0.7283172052028527;12;157324.1674742934;0;0;0;0;0.03474933458132309;0.8185495116908855;9
[min];0;0;0;0;0;0.09435727619799568;0.7719834911134902;15;0;0;0;0;0;0.05511453944933516;1;2;0;0;0;0;0;0.09797103900386961;0.630777857774014;8;0;0;0;0;0;0.10399431372162352;0.6231057540895493;12;0;0;0;0;0;0.10440683289864601;0.6328487686106826;3;0;0;0;0;0;0.08039534831677322;0.6745910935599371;14;0;0;0;0;0;0.0289214407987394;0.6708337197751951;7;0;0;0;0;0;0.05978779120353374;0.7353946784970151;18;0;0;0;0;0;0.08852021776187013;1;0;0;0;0;0;0;0.054276061556725284;0.8102633887045234;7;0;0;0;0;0;0.028621546318048426;0.6781141474371393;8;0;0;0;0;0;0.0647021441220152;0.6835766571293609;8;0;0;0;0;0;0.05013379319176155;1;0;0;0;0;0;0;0.11962106595911681;0.8091364024850921;6;0;0;0;0;0;0.05056154213204239;0.8972045953408136;7;0;0;0;0;0;0.047967389856891876;0.504463305162447;1;0;0;0;0;0;0.0440033883549648;0.7399197067967964;10;0;0;0;0;0;0.03727248035085128;0.8943801731811067;9;0;0;0;0;0;0.029474460854652995;0.7283172052028527;12;0;0;0;0;0;0.03474933458132309;0.8185495116908855;9
[max];281028.646315285;34;160;1.099;12.8;0.09435727619799568;0.7719834911134902;15;157162.20753212785;23;97;1.099;17;0.05511453944933516;1;2;143612.82717879774;19;97;1.099;14;0.09797103900386961;0.630777857774014;8;171672.96618288706;21;97;1.0890000000000002;14;0.10399431372162352;0.6231057540895493;12;182506.5707682506;22;97;1.089;13.1;0.10440683289864601;0.6328487686106826;3;119005.83005326285;20;97;1.089;14.333333333333334;0.08039534831677322;0.6745910935599371;14;189071.29101198204;20;97;1.091;12;0.0289214407987394;0.6708337197751951;7;185745.21328556843;18;97;1.0890000000000002;13.6;0.05978779120353374;0.7353946784970151;18;192027.7823569869;23;97;1.089;14;0.08852021776187013;1;0;148489.33696484487;19;97;1.099;17;0.054276061556725284;0.8102633887045234;7;190631.9354013443;20;97;1.099;14;0.028621546318048426;0.6781141474371393;8;167401.7306923517;20;97;1.089;14.666666666666666;0.0647021441220152;0.6835766571293609;8;177166.464755613;21;97;1.089;18;0.05013379319176155;1;0;173260.822749223;23;97;1.099;15.5;0.11962106595911681;0.8091364024850921;6;226426.64194456628;19;97;1.089;15;0.05056154213204239;0.8972045953408136;7;176326.52934269642;22;97;1.099;11.75;0.047967389856891876;0.504463305162447;1;139109.11497369758;19;97;1.089;14.2;0.0440033883549648;0.7399197067967964;10;178324.38793060457;22;97;1.099;14.666666666666666;0.03727248035085128;0.8943801731811067;9;170047.8079514738;18;97;1.099;17;0.029474460854652995;0.7283172052028527;12;157324.1674742934;18;97;1.0890000000000002;14.833333333333334;0.03474933458132309;0.8185495116908855;9
[mean];214882.09435244423;11.978227060653188;5.898911353032659;0.3576873425407752;2.788763372553576;0.09435727619799637;0.7719834911134851;15;118801.66649493032;7.966542750929368;3.9516728624535316;0.32137976197538604;3.363980678037371;0.05511453944933483;1;2;105897.07980098679;6.965870307167235;3.3276450511945392;0.3626341868179564;2.820582905144764;0.09797103900386814;0.6307778577740191;8;123974.01219583921;7.90531561461794;3.8438538205980066;0.33027377733315777;3.0573302545661845;0.10399431372162272;0.6231057540895415;12;134308.2558659679;7.401503759398496;3.700751879699248;0.3282148005895302;3.1172894879820086;0.10440683289864662;0.6328487686106864;3;91063.3806650123;5.983361064891847;2.7054908485856903;0.34512017756671826;2.9938042149747495;0.08039534831677254;0.674591093559929;14;138156.25409048735;8.774526678141136;4.383820998278829;0.36023831689572106;2.89090093292913;0.028921440798739748;0.6708337197751995;7;133063.78274639745;7.265693430656935;3.664233576642336;0.35002658624722943;3.082248727251949;0.05978779120353312;0.7353946784970161;18;135861.31988358634;10.13733075435203;4.990328820116054;0.3547741892879702;3.128632905265728;0.08852021776186993;1;0;114612.2137733911;5.995488721804511;3.043609022556391;0.35069140915151187;3.0007836543563053;0.05427606155672507;0.8102633887045236;7;136263.28089686093;8.772425249169435;4.269102990033223;0.3863126547845254;3.080644529726024;0.028621546318048363;0.6781141474371429;8;118833.94762913261;8.526022304832713;4.210037174721189;0.3382472331289757;3.137654835490388;0.06470214412201551;0.6835766571293631;8;122833.05453805772;9.823529411764707;4.847870182555781;0.3536301513642348;3.2569626054041763;0.050133793191761755;1;0;131523.7394253876;7.795031055900621;3.6133540372670807;0.39528356605026077;2.757670247595495;0.11962106595911723;0.8091364024850849;6;165736.49590683816;8.17222963951936;4.048064085447263;0.34109061531319673;3.0478758655534612;0.050561542132041976;0.8972045953408144;7;124819.63973792753;10.226141078838173;4.921161825726141;0.3764670270625453;3.0699527802368616;0.04796738985689215;0.5044633051624527;1;95602.28695912492;9.01639344262295;4.433255269320843;0.3542743241965143;3.219197861652692;0.04400338835496477;0.7399197067967974;10;127508.01179908797;7.298921417565485;3.719568567026194;0.33076074937890826;3.4316507458244314;0.0372724803508507;0.8943801731811117;9;118905.9594571891;9.003868471953579;4.448742746615087;0.3466534051609443;3.293460796734774;0.029474460854652773;0.7283172052028555;12;111924.71377729476;8.704061895551257;4.100580270793037;0.3603557463116584;2.8686175075098723;0.03474933458132291;0.8185495116908887;9
[steps];642;642;642;642;642;642;642;642;537;537;537;537;537;537;537;537;585;585;585;585;585;585;585;585;601;601;601;601;601;601;601;601;664;664;664;664;664;664;664;664;600;600;600;600;600;600;600;600;580;580;580;580;580;580;580;580;684;684;684;684;684;684;684;684;516;516;516;516;516;516;516;516;664;664;664;664;664;664;664;664;601;601;601;601;601;601;601;601;537;537;537;537;537;537;537;537;492;492;492;492;492;492;492;492;643;643;643;643;643;643;643;643;748;748;748;748;748;748;748;748;481;481;481;481;481;481;481;481;426;426;426;426;426;426;426;426;648;648;648;648;648;648;648;648;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516;516
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[all run data];report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles;report-total-co-emissions;report-number-riders;report-num-cars-stopped;report-mean-speed-cars;report-average-wait-time-cars;report-average-rider-score-group;report-average-walking-turtle-score;report-number-walking-turtles
;0;34;160;0.06988235294117648;1;0.09435727619799568;0.7719834911134902;15;0;23;97;0.0774782608695652;1;0.05511453944933516;1;2;0;19;97;0.08336842105263158;1;0.09797103900386961;0.630777857774014;8;0;21;97;0.06599999999999999;1;0.10399431372162352;0.6231057540895493;12;0;22;97;0.0765;1;0.10440683289864601;0.6328487686106826;3;0;20;97;0.08909999999999998;1;0.08039534831677322;0.6745910935599371;14;0;20;97;0.0693;1;0.0289214407987394;0.6708337197751951;7;0;18;97;0.0605;1;0.05978779120353374;0.7353946784970151;18;0;23;97;0.07317391304347826;1;0.08852021776187013;1;0;0;19;97;0.07294736842105262;1;0.054276061556725284;0.8102633887045234;7;0;20;97;0.0693;1;0.028621546318048426;0.6781141474371393;8;0;20;97;0.08909999999999998;1;0.0647021441220152;0.6835766571293609;8;0;21;97;0.05657142857142857;1;0.05013379319176155;1;0;0;23;97;0.08608695652173912;1;0.11962106595911681;0.8091364024850921;6;0;19;97;0.06773684210526315;1;0.05056154213204239;0.8972045953408136;7;0;22;97;0.0765;1;0.047967389856891876;0.504463305162447;1;0;19;97;0.05731578947368421;1;0.0440033883549648;0.7399197067967964;10;0;22;97;0.06749999999999999;1;0.03727248035085128;0.8943801731811067;9;0;18;97;0.077;1;0.029474460854652995;0.7283172052028527;12;0;18;97;0.077;1;0.03474933458132309;0.8185495116908855;9
